timeStep;prevStat;prevAct;prevArg;obtRewd;oldQVal;newQVal;randAct
283;MocafeStateMocafeState<-42794, 21405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-920284970.0;0.0;-184056994.0;true
284;MocafeStateMocafeState<-42994, 21505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-928885370.0;0.0;-185777074.0;true
285;MocafeStateMocafeState<-43194, 21605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-937525770.0;0.0;-187505154.0;true
286;MocafeStateMocafeState<-43394, 21705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-946206170.0;0.0;-189241234.0;true
287;MocafeStateMocafeState<-43594, 21805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-954926570.0;0.0;-190985314.0;true
288;MocafeStateMocafeState<-43794, 21905.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-959307570.0;0.0;-191861514.0;false
289;MocafeStateMocafeState<-43794, 21905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-963686970.0;0.0;-192737394.0;true
290;MocafeStateMocafeState<-43994, 22005.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-963688570.0;0.0;-192737714.0;false
291;MocafeStateMocafeState<-43794, 21905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-963686970.0;0.0;-192737394.0;true
292;MocafeStateMocafeState<-43994, 22005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-972487370.0;0.0;-194497474.0;true
293;MocafeStateMocafeState<-44194, 22105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-981327770.0;0.0;-196265554.0;true
294;MocafeStateMocafeState<-44394, 22205.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-985768770.0;0.0;-197153754.0;false
295;MocafeStateMocafeState<-44394, 22205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-990208170.0;0.0;-198041634.0;true
296;MocafeStateMocafeState<-44594, 22305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-999128570.0;0.0;-199825714.0;true
297;MocafeStateMocafeState<-44794, 22405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1008088970.0;0.0;-201617794.0;true
298;MocafeStateMocafeState<-44994, 22505.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-1012589970.0;0.0;-202517994.0;false
299;MocafeStateMocafeState<-44994, 22505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1017089370.0;0.0;-203417874.0;true
300;MocafeStateMocafeState<-45194, 22605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1026129770.0;0.0;-205225954.0;true
301;MocafeStateMocafeState<-45394, 22705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1035210170.0;0.0;-207042034.0;true
302;MocafeStateMocafeState<-45594, 22805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1044330570.0;0.0;-208866114.0;true
303;MocafeStateMocafeState<-45794, 22905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1053490970.0;0.0;-210698194.0;true
304;MocafeStateMocafeState<-45994, 23005.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-1053492570.0;0.0;-210698514.0;false
305;MocafeStateMocafeState<-45794, 22905.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-1048911570.0;0.0;-209782314.0;false
306;MocafeStateMocafeState<-45794, 22905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1053490970.0;0.0;-210698194.0;true
307;MocafeStateMocafeState<-45994, 23005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1062691370.0;0.0;-212538274.0;true
308;MocafeStateMocafeState<-46194, 23105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1071931770.0;0.0;-214386354.0;true
309;MocafeStateMocafeState<-46394, 23205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1081212170.0;0.0;-216242434.0;true
310;MocafeStateMocafeState<-46594, 23305.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-1081213770.0;0.0;-216242754.0;false
311;MocafeStateMocafeState<-46394, 23205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1081212170.0;0.0;-216242434.0;true
312;MocafeStateMocafeState<-46594, 23305.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-1085873170.0;0.0;-217174634.0;false
313;MocafeStateMocafeState<-46594, 23305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1090532570.0;0.0;-218106514.0;true
314;MocafeStateMocafeState<-46794, 23405.0>;MaintainDrinkPrice;MaintainDrinkPriceArgSet<>;-1095213570.0;0.0;-219042714.0;false
315;MocafeStateMocafeState<-46794, 23405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1099892970.0;0.0;-219978594.0;true
316;MocafeStateMocafeState<-46994, 23505.0>;DecreaseDrinkPrice;DecreaseDrinkPriceArgSet<100>;-1099894570.0;0.0;-219978914.0;false
317;MocafeStateMocafeState<-46794, 23405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-1099892970.0;0.0;-219978594.0;true
